MB_CODE16,max_dist
"10000010000",148.893972191171
"10000021000",301.498214164118
"10000022000",179.363923380172
"10000023000",190.802336718168
"10000024000",195.044214181855
"10000040000",163.842452488657
"10000050000",173.671077783724
"10000061000",361.368772003018
"10000062000",259.363028965706
"10000063000",220.935193071225
"10000070000",212.007052364507
"10000090000",217.909653341316
"10000100000",164.258333439039
"10000120000",240.240892281455
"10000130000",258.814043584565
"10000140000",119.421226271132
"10000151000",169.292906166843
"10000152000",160.377530728752
"10000161000",240.23920226899
"10000162000",219.495281603727
"10000170000",170.070492426892
"10000190000",145.913324100295
"10000200000",234.582449689558
"10000210000",224.737922809738
"10000220000",238.404264473384
"10000230000",319.296661899912
"10000240000",298.430743966922
"10000260000",86.338298379805
"10000270000",953.037386872568
"10000290000",96.823047693669
"10000310000",184.536098527856
"10000320000",591.572411965518
"10000330000",480.71167820814
"10000341000",163.86883594977
"10000342000",166.336916803175
"10000350000",2319.24003834013
"10000380000",2180.95024823147
"10000410000",321.289651398482
"10000420000",190.014047996426
"10000430000",137.181091053809
"10000440000",180.128881190715
"10000450000",97.5650454062683
"10000460000",126.49244981078
"10000480000",298.442012462918
"10000490000",172.311052533003
"10000500000",289.001239576694
"10000510000",115.140264625162
"10000541000",258.320391695727
"10000542000",217.98511682219
"10000560000",200.989245189186
"10000570000",166.423259815268
"10000580000",225.178528850529
"10000590000",266.912148253841
"10000600000",212.9513702549
"10000620000",2290.24878848075
"10000640000",841.925322524063
"10000650000",136.362609490672
"10000660000",207.756435599087
"10000680000",231.889533866289
"10000710000",224.477280199611
"10000720000",235.333876051905
"10000730000",173.000416420318
"10000740000",174.880078306331
"10000750000",361.250199574199
"10000760000",184.815111501957
"10000780000",181.973568147847
"10000800000",334.276000544104
"10000810000",258.068179679506
"10000820000",185.996192161966
"10000850000",80.6457192870242
"10000860000",80.1572876934119
"10000880000",123.483976153644
"10000891000",165.135664464769
"10000892000",136.083018634176
"10000900000",135.543944148296
"10000910000",95.8586055586014
"10000920000",98.2879913820624
"10000930000",130.475023776325
"10000940000",131.452405152819
"10000960000",177.505508603733
"10000980000",182.521038107398
"10000990000",240.569913441144
"10001000000",188.372648818972
"10001010000",161.830360758971
"10001020000",113.472550878818
"10001030000",112.011238786362
"10001040000",115.091760074514
"10001050000",95.563923279227
"10001071000",321.840218110954
"10001072000",284.746140127567
"10001080000",153.481229331505
"10001090000",144.066135450488
"10001100000",163.750355619318
"10001121000",591.957748722052
"10001122000",190.334917035026
"10001131000",192.226610574655
"10001132000",149.427112386302
"10001140000",298.05778246453
"10001150000",234.189932919602
"10001160000",223.606577933332
"10001180000",285.203274469013
"10001190000",188.750048827186
"10001200000",108.315466238525
"10001210000",145.144819972319
"10001220000",124.949498083415
"10001230000",139.122963585387
"10001240000",107.28501820081
"10001250000",177.705511774529
"10001260000",139.378337523658
"10001270000",173.080714312879
"10001280000",137.838881965651
"10001290000",140.449256912886
"10001300000",144.030094433469
"10001310000",198.347865847386
"10001321000",134.824309052255
"10001322000",133.520213433172
"10001330000",128.465008752339
"10001341000",128.63306117193
"10001342000",129.275926034709
"10001350000",119.414837963279
"10001360000",152.725327985046
"10001371000",299.44693744815
"10001372000",272.160174204189
"10001380000",139.802151268206
"10001390000",189.819675781653
"10001400000",121.690281578333
"10001410000",171.538150774383
"10001420000",131.125273218225
"10001430000",256.911149425889
"10001440000",181.439245399111
"10001450000",82.5217614354397
"10001460000",377.625588849941
"10001471000",166.098161001277
"10001472000",145.532397420135
"10001480000",207.483304881755
"10001500000",233.337285068246
"10001510000",156.158650675984
"10001540000",211.141904636762
"10001550000",339.677530447327
"10001560000",231.512647225652
"10001570000",283.727634552215
"10001580000",200.687849825067
"10001590000",195.469376768225
"10001600000",196.08695422616
"10001610000",309.697444211368
"10001620000",201.364035264595
"10001630000",114.536904568943
"10001640000",161.933150106106
"10001650000",121.697181391719
"10001660000",249.610265641454
"10001670000",150.387986744397
"10001680000",237.609498874206
"10001690000",124.376001099631
"10001700000",212.479995086014
"10001710000",264.428210315221
"10001740000",81.0918862479448
"10001760000",225.211947342704
"10001770000",160.411551613993
"10001780000",200.283756733148
"10001790000",116.185206675771
"10001800000",172.998424536283
"10001810000",136.27003523048
"10001820000",140.411940930214
"10001860000",232.89820633445
"10001870000",205.44758405236
"10001880000",134.6440828903
"10001890000",129.632253815226
"10001900000",186.006984271662
"10001910000",173.566421420411
"10001920000",136.605416550908
"10001930000",196.770540052375
"10001950000",125.732780332686
"10001960000",173.123524550887
"10001970000",183.149654174652
"10001980000",191.777782566762
"10001990000",588.15759402381
"10002003000",296.559962445141
"10002004000",155.44825666237
"10002005000",228.661353822844
"10002007000",182.06383269379
"10002010000",254.008864196034
"10002020000",360.451959832029
"10002031000",486.536814916555
"10002032000",264.106378007969
"10002040000",180.092922443239
"10002050000",273.429886321354
"10002060000",263.235154776819
"10002070000",219.38665351459
"10002080000",301.977850154691
"10002090000",242.016431709817
"10002100000",114.117543313281
"10002110000",220.034673682784
"10002120000",238.658714075808
"10002141000",108.510210183079
"10002142000",153.566265420578
"10002150000",176.011737471689
"10002160000",119.26477561777
"10002170000",358.588264825746
"10002190000",285.744432626436
"10002200000",196.70519682224
"10002210000",249.174953967876
"10002220000",128.80576717897
"10002230000",93.4528780808465
"10002240000",135.044247248162
"10002250000",173.671315504132
"10002260000",148.000529194891
"10002270000",148.188098429313
"10002280000",169.475265508222
"10002290000",130.497920494286
"10002300000",162.64702841485
"10002310000",57.5824553792291
"10002320000",99.0705210869895
"10002330000",193.378165548937
"10002340000",155.685648461388
"10002350000",124.110862037921
"10002360000",152.071040979711
"10002370000",194.071736146516
"10002380000",97.1806261044388
"10002390000",96.9009554291272
"10002400000",155.266249099269
"10002410000",163.893228853061
"10002420000",104.568673110434
"10002430000",122.565944892255
"10002440000",86.5773360960992
"10002450000",223.052620440727
"10002460000",109.814755999379
"10002490000",195.819717209259
"10002500000",274.005016764295
"10002511000",226.534631286126
"10002512000",80.656706176541
"10002520000",206.67471561882
"10002530000",187.341409155545
"10002540000",252.825437813881
"10002551000",331.126312489228
"10002552000",249.914136712155
"10002553000",156.352531773029
"10002580000",183.446778860114
"10002600000",224.629481072271
"10002610000",332.15380387626
"10002630000",146.717339075254
"10002650000",203.554456965404
"10002660000",231.119264047814
"10002670000",139.850050836186
"10002680000",120.941984287679
"10002690000",151.196099925697
"10002700000",160.869538066624
"10002710000",179.491179184446
"10002720000",474.334766319161
"10002730000",118.112125549152
"10002740000",245.754170094781
"10002751000",167.157340149507
"10002752000",130.961329449797
"10002760000",153.427960653456
"10002770000",142.681361855702
"10002780000",153.540013215125
"10002790000",187.77443927647
"10002800000",121.035685855793
"10002810000",196.541960447257
"10002820000",145.425504015623
"10002830000",96.5938250838298
"10002840000",160.258303152089
"10002850000",227.984557553255
"10002860000",170.390943931212
"10002870000",227.543660575535
"10002880000",158.56675668255
"10002890000",273.885282521775
"10002900000",136.199996398204
"10002910000",143.201155290838
"10002920000",230.335186742583
"10002930000",139.137743330207
"10002940000",116.452351467469
"10002950000",170.034681253863
"10002960000",169.758480525474
"10002970000",168.166162626425
"10002980000",158.960270497418
"10002990000",178.835241786255
"10003000000",146.263101262624
"10003010000",181.470979768794
"10003030000",146.799885732657
"10003040000",177.011754992541
"10003050000",194.178078784103
"10003060000",202.031407115935
"10003070000",204.927894922936
"10003080000",153.712388133516
"10003090000",202.378314622524
"10003100000",220.066762640334
"10003110000",164.325009937771
"10003120000",160.041814596924
"10003130000",152.629122196332
"10003140000",128.515935206517
"10003150000",177.676276263104
"10003160000",206.387645658286
"10003170000",173.352414633655
"10003180000",178.377621749984
"10003190000",142.976151297757
"10003200000",217.290835439287
